Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.2058008859799468752824490697,0.205800885979947,0.205800885979947,0.205800885979947,0.205800885979947,0,0,0,0,2,0.999,0.999,124262.6
0.02,0,0.1853600177461412841397177991,0.185360017746141,0.185360017746141,0.185360017746141,0.185360017746141,0,0,0,0,2,0.999,0.999,248525.1
0.03,0,0.1798612560235721815474875157,0.179861256023572,0.179861256023572,0.179861256023572,0.179861256023572,0,0,0,0,2,0.999,0.999,372787.7
0.04,0,0.1784435360082304421398333010,0.17844353600823,0.17844353600823,0.17844353600823,0.17844353600823,0,0,0,0,2,0.999,0.999,497050.3
0.05,0,0.1797312959195218438068292779,0.179731295919522,0.179731295919522,0.179731295919522,0.179731295919522,0,0,0,0,2,0.999,0.999,621312.9
0.06,0,0.1825129149522900455128547602,0.18251291495229,0.18251291495229,0.18251291495229,0.18251291495229,0,0,0,0,2,0.999,0.999,745575.4
0.07,0,0.1849520529417589932024452402,0.184952052941759,0.184952052941759,0.184952052941759,0.184952052941759,0,0,0,0,2,0.999,0.999,869838
0.08,0,0.1868619849649413656913611078,0.186861984964941,0.186861984964941,0.186861984964941,0.186861984964941,0,0,0,0,2,0.999,0.999,994100.6
0.09,0,0.1883209127612046306947412557,0.188320912761205,0.188320912761205,0.188320912761205,0.188320912761205,0,0,0,0,2,0.999,0.999,1118363
0.10,0,0.1894304545507683380175198467,0.189430454550768,0.189430454550768,0.189430454550768,0.189430454550768,0,0,0,0,2,0.999,0.999,1242626
0.11,0,0.1902747201959260994715836732,0.190274720195926,0.190274720195926,0.190274720195926,0.190274720195926,0,0,0,0,2,0.999,0.999,1366888
0.12,0,0.1909174503553168416227956447,0.190917450355317,0.190917450355317,0.190917450355317,0.190917450355317,0,0,0,0,2,0.999,0.999,1491151
0.13,0,0.1914059071262623304552708818,0.191405907126262,0.191405907126262,0.191405907126262,0.191405907126262,0,0,0,0,2,0.999,0.999,1615413
0.14,0,0.1917751642223541129305754562,0.191775164222354,0.191775164222354,0.191775164222354,0.191775164222354,0,0,0,0,2,0.999,0.999,1739676
